Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End	List Price	Purchase Price	Value	Condition	ISSN
322323998	Schaum's Outline of Mathematical Handbook of Formulas and Tables, Fifth Edition	1	Lipschutz, Seymour	Author	Spiegel, Murray R.|Liu, John	Author|Author	McGraw Hill (2017), Edition: 5, 336 pages	2017					Schaum's Outline of Mathematical Handbook of Formulas and Tables, Fifth Edition by Seymour Lipschutz (2017)	Paperback	336 p.; 10.88 inches	2.314853751 pounds	10.88 inches	0.76 inches	8.12 inches	10.88 x 8.12 x 0.76 inches	336					1			Your library	English	English	QA300 2017	[9781260010534]	9781260010534, 1260010538		510.212	Mathematics > Mathematics / Graphs > Miscellany > Natural sciences & mathematics		1	amazon.com books	[2026-08-30]			20661173	(No name)				$20 (USD)				
322325974	AP Physics C Premium, 2024: 4 Practice Tests + Comprehensive Review + Online Practice (Barron's AP Prep)	1	Pelcovits Ph.D., Robert A.	Author	Farkas M.D., Joshua	Author	Barrons Educational Services (2023), Edition: Premium, 600 pages	2023					AP Physics C Premium, 2024: 4 Practice Tests + Comprehensive Review + Online Practice (Barron's AP Prep) by Robert A. Pelcovits Ph.D. (2023)	Paperback	600 p.; 10.88 inches	1.00089866948 pounds	10.875 inches	1.3 inches	8.375 inches	10.875 x 8.375 x 1.3 inches	600					2			Your library	English	English	QC32 .B37 2023	[1506287956]	1506287956, 9781506287959		530.076	Education, research, related topics > Natural sciences & mathematics > Physics > Physics > Physics > Review and exercise		1	amazon.com books	[2026-08-30]			30581386	(No name)				$24.99 (USD)				
322326175	Life on the Edge: The Coming of Age of Quantum Biology	1	McFadden, Johnjoe	Author	Al-Khalili, Jim	Author	Crown (2016), Edition: Reprint, 368 pages	2016					Life on the Edge: The Coming of Age of Quantum Biology by Johnjoe McFadden (2016)	Paperback	368 p.; 7.93 inches	0.59965735264 pounds	7.93 inches	0.79 inches	5.12 inches	7.93 x 5.12 x 0.79 inches	368					3			Your library	English	English	QP517 .Q34 .M34 2016	[0307986829]	0307986829, 9780307986825		572	Biochemistry > Biology > Natural sciences & mathematics		1	amazon.com books	[2026-08-30]			15469679	(No name)				$18 (USD)				
322326240	Turtles, Termites, and Traffic Jams: Explorations in Massively Parallel Microworlds (Complex Adaptive Systems)	1	Resnick, Mitchel	Author			Bradford Books (1997), Edition: Reprint, 184 pages	1997					Turtles, Termites, and Traffic Jams: Explorations in Massively Parallel Microworlds (Complex Adaptive Systems) by Mitchel Resnick (1997)	Paperback	184 p.; 9 inches	0.6503636729 pounds	9 inches	0.42 inches	6 inches	9 x 6 x 0.42 inches	184					4			Your library	English	English	QA76.58 .R47 1997	[0262680939]	0262680939, 9780262680936	Artificial Intelligence|Artificial intelligence|Parallel processing (Electronic computers)|StarLogo (Computer program language)	3.7	Computer science, information & general works > Computer science, knowledge & systems > Kinds of systems > Systems		1	amazon.com books	[2026-08-30]			49442	(No name)				$30 (USD)				
322326483	AP Physics C Premium, Eighth Edition: 4 Practice Tests + Comprehensive Review + Online Practice (2026) (Barron's AP Prep)	1	Pelcovits Ph.D., Robert A.	Author	Farkas M.D., Joshua	Author	Barrons Educational Services (2024), Edition: Premium, 528 pages	2024					AP Physics C Premium, Eighth Edition: 4 Practice Tests + Comprehensive Review + Online Practice (2026) (Barron's AP Prep) by Robert A. Pelcovits Ph.D. (2024)	Paperback	528 p.; 10.88 inches	0.4629707502 pounds	10.875196839301 inches	1.090157479203 inches	8.374803141064 inches	10.875196839301 x 8.374803141064 x 1.090157479203 inches	528					5			Your library	English	English	QC32 .B37 2024	[1506291627]	1506291627, 9781506291628		530.076	Education, research, related topics > Natural sciences & mathematics > Physics > Physics > Physics > Review and exercise		1	amazon.com books	[2026-08-30]			33338592	(No name)								
322326736	Quality Engineering Using Robust Design	1	Phadke, Madhav S.	Author			Prentice Hall (1989), Edition: 1, 333 pages	1989					Quality Engineering Using Robust Design by Madhav S. Phadke (1989)	Paperback	333 p.; 9 inches	1.2 pounds	9 inches	0.9 inches	7 inches	9 x 7 x 0.9  inches	333					6			Your library	English	English	TA174 .P49 1989	[0137451679]	0137451679, 9780137451678		620.0042	Applied science & technology > Design > Engineering > General Engineering > Mechanical & Civil Engineering > Special Topics		1	amazon.com books	[2026-08-30]			1802425	(No name)				$95 (USD)				
322326940	Physics for Scientists and Engineers: Standard Version	1	Tipler, Paul A.	Author	Mosca, Gene	Author	W. H. Freeman (2003), Edition: 5th, 1116 pages	2003					Physics for Scientists and Engineers: Standard Version by Paul A. Tipler (2003)	Hardcover	1116 p.; 11.16 inches	6.64914182192 pounds	11.16 inches	1.805 inches	9.26 inches	11.16 x 9.26 x 1.805 inches	1116					7			Your library	English	English	QC21.2 .T549 2003	[0716783398]	0716783398, 9780716783398		530	Natural sciences & mathematics > Physics > Physics		1	amazon.com books	[2026-08-30]			2916738	(No name)				$158.99 (USD)				
322327077	Multivariable Calculus	1	Stewart, James	Author	Watson, Saleem|Clegg, Daniel K.	Author|Author	Cengage Learning (2020), Edition: 9, 1408 pages	2020					Multivariable Calculus by James Stewart (2020)	Hardcover	1408 p.; 10 inches	2.85057704766 pounds	10 inches	1 inch	8.5 inches	10 x 8.5 x 1 inches	1408					8			Your library	English	English	QA303.2 .S735 2020	[0357042921]	0357042921, 9780357042922	Calculus	515	Analysis > Mathematics > Natural sciences & mathematics		1	amazon.com books	[2026-08-30]			115470	(No name)				$274.95 (USD)				
322327119	Calculus With Analytic Geometry	1	Larson, Ron	Author	Hostetler, Robert P.|Edwards, Bruce H.	Author|Author	Brooks/Cole Pub Co (2005), Edition: Student, 1138 pages	2005					Calculus With Analytic Geometry by Ron Larson (2005)	Hardcover	1138 p.; 11 inches	6.2390820146 pounds	11 inches	1.75 inches	9 inches	11 x 9 x 1.75 inches	1138					9			Your library	English	English	QA303 .L33 2005	[061850298X]	061850298X, 9780618502981	Calculus|Geometry, Analytic	515.15	Analysis > Analysis and Calculus > Double curvd surfaces > Mathematics > Natural sciences & mathematics		1	amazon.com books	[2026-08-30]			222671	(No name)				$318.95 (USD)				
