Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End	List Price	Purchase Price	Value	Condition	ISSN
322747898	RuBEN: Rule-based Experimental Navigator	1	Leibowitz, Brian S	Author	Kelsey, Patrick|Evangelista, Dennis J	Author|Author		1994		5			RuBEN: Rule-based Experimental Navigator by Brian S Leibowitz (1994)	Book												SE00000		senior projects, robotics	Your library, Senior Projects			TJ211 .L45 1994	[]						1	manual entry	[2026-09-05]			37187131	(No name)								
322747961	Jumping Water Fountain	1	Chanda, Manjari	Author	Evangelista, Dennis|Eng, Christopher	Author|Author		1994		5			Jumping Water Fountain by Manjari Chanda (1994)	Book												SE00001		senior projects, fluid mechanics	Your library, Senior Projects			QC151 .C43 1994	[]						1	manual entry	[2026-09-05]			37187139	Evangelista, Dennis J	Checked out	2026-09-05	2026-09-19					
